,countryISO3,Deliberate neural restructuring: Religious practice,Deliberate neural restructuring: Schooling & research,Experience oriented: Active recreation,Experience oriented: Interactive,Experience oriented: Meals,Experience oriented: Passive,Experience oriented: Social,Food provision: Food growth & collection,Food provision: Food preparation,Food provision: Food processing,Maintenance of surroundings: Inhabited environment,Maintenance of surroundings: Waste management,Nonfood provision: Energy,Nonfood provision: Materials,Organization: Allocation,Organization: Human transportation,Organization: Material transportation,Somatic maintenance: Health care,Somatic maintenance: Hygiene & grooming,Somatic maintenance: Physical child care,Somatic maintenance: Sleep & bedrest,Technosphere modification: Artifacts,Technosphere modification: Buildings,Technosphere modification: Infrastructure
0,ABW,0.23,1.22,0.46,1.28,1.27,2.12,1.0,0.17,1.47,0.0,1.41,0.02,0.05,0.03,1.54,0.73,0.12,0.47,0.93,0.7,8.21,0.25,0.22,0.07
1,AFG,0.29,1.33,0.23,0.62,1.62,2.05,1.8,0.88,1.14,0.1,0.68,0.0,0.02,0.04,0.74,0.75,0.25,0.06,1.2,0.27,9.49,0.18,0.2,0.07
2,AGO,0.44,1.95,0.44,0.96,1.14,1.84,1.05,1.06,0.81,0.02,0.72,0.0,0.08,0.1,0.49,1.02,0.48,0.05,0.82,0.27,9.79,0.42,0.03,0.02
3,ALB,0.07,1.03,0.43,0.61,2.02,3.06,0.73,0.82,1.1,0.04,0.83,0.01,0.04,0.05,0.6,1.11,0.12,0.1,0.79,0.33,9.4,0.4,0.28,0.03
4,ARE,0.47,0.93,0.49,0.9,1.79,3.09,1.09,0.36,0.88,0.04,0.86,0.01,0.03,0.04,0.79,0.77,0.21,0.13,0.85,0.25,9.45,0.31,0.21,0.04
5,ARG,0.17,1.05,0.57,1.15,1.31,2.9,1.21,0.13,0.7,0.0,0.72,0.01,0.03,0.03,1.41,1.11,0.35,0.16,1.0,0.33,8.78,0.54,0.28,0.08
6,ARM,0.47,0.99,0.49,0.92,1.79,3.09,1.09,0.48,0.85,0.09,0.82,0.0,0.06,0.06,0.72,0.77,0.23,0.18,0.85,0.25,9.45,0.16,0.15,0.05
7,ATG,0.22,1.23,0.45,1.28,1.27,2.09,0.98,0.56,1.15,0.1,1.29,0.01,0.04,0.07,1.29,0.69,0.18,0.48,0.94,0.7,8.21,0.43,0.26,0.07
8,AUS,0.16,0.92,0.56,0.93,1.45,3.06,0.99,0.13,0.81,0.0,1.02,0.01,0.03,0.06,1.35,1.02,0.34,0.31,0.88,0.34,8.9,0.36,0.32,0.08
9,AUT,0.1,0.85,0.74,0.92,1.64,2.79,0.86,0.22,0.82,0.07,1.2,0.01,0.03,0.03,1.38,0.87,0.37,0.23,0.88,0.27,8.78,0.54,0.3,0.1
