countryISO3,Deliberate neural restructuring: Religious practice,Deliberate neural restructuring: Schooling & research,Experience oriented: Active recreation,Experience oriented: Interactive,Experience oriented: Meals,Experience oriented: Passive,Experience oriented: Social,Food provision: Food growth & collection,Food provision: Food preparation,Food provision: Food processing,Maintenance of surroundings: Inhabited environment,Maintenance of surroundings: Waste management,Nonfood provision: Energy,Nonfood provision: Materials,Organization: Allocation,Organization: Human transportation,Organization: Material transportation,Somatic maintenance: Health care,Somatic maintenance: Hygiene & grooming,Somatic maintenance: Physical child care,Somatic maintenance: Sleep & bedrest,Technosphere modification: Artifacts,Technosphere modification: Buildings,Technosphere modification: Infrastructure,cluster
TUR,0.41,0.88,0.46,0.93,1.9,3.11,1.11,0.45,0.97,0.06,0.82,0.01,0.02,0.04,0.83,0.8,0.27,0.09,0.88,0.23,9.14,0.4,0.16,0.03,3
TWN,0.16,1.14,0.55,0.74,1.42,3.66,0.48,1.38,0.63,0.05,0.76,0.01,0.06,0.11,0.89,0.65,0.15,0.08,0.93,0.14,9.15,0.64,0.15,0.06,0
TZA,0.23,1.15,0.24,1.04,2.0,2.43,0.51,1.63,0.68,0.02,0.69,0.0,0.02,0.11,0.8,1.03,0.49,0.4,1.09,0.27,8.97,0.11,0.08,0.01,6
UGA,0.15,1.14,0.39,1.1,1.88,2.25,0.93,1.09,0.78,0.15,0.85,0.01,0.01,0.1,0.82,0.99,0.32,0.37,1.08,0.29,8.93,0.2,0.16,0.01,6
UKR,0.19,0.84,0.5,1.2,1.54,2.39,0.79,0.54,1.0,0.05,1.02,0.01,0.17,0.16,1.07,0.77,0.27,0.14,1.12,0.42,8.95,0.56,0.23,0.06,2
URY,0.17,1.06,0.57,1.15,1.31,2.9,1.22,0.33,0.7,0.0,0.72,0.01,0.04,0.06,1.25,1.09,0.33,0.19,1.0,0.34,8.78,0.48,0.24,0.06,2
USA,0.2,0.93,0.48,1.2,1.12,3.4,0.93,0.06,0.68,0.04,0.82,0.01,0.04,0.02,1.36,0.96,0.39,0.45,0.77,0.25,9.17,0.41,0.21,0.11,2
UZB,0.48,1.6,0.52,1.41,1.56,2.27,1.13,0.5,0.51,0.07,1.09,0.01,0.05,0.09,0.85,0.96,0.28,0.29,1.09,0.26,8.74,0.32,0.26,0.05,8
VCT,0.22,1.23,0.45,1.28,1.27,2.09,0.98,0.56,1.15,0.1,1.29,0.01,0.04,0.07,1.29,0.69,0.18,0.48,0.94,0.7,8.21,0.43,0.26,0.07,1
VEN,0.17,1.09,0.58,1.15,1.31,2.89,1.2,0.28,0.68,0.0,0.69,0.02,0.03,0.09,1.32,1.12,0.34,0.14,1.0,0.32,8.78,0.48,0.23,0.06,2
VIR,0.22,1.23,0.45,1.28,1.27,2.09,0.98,0.56,1.15,0.1,1.29,0.01,0.04,0.07,1.29,0.69,0.18,0.48,0.94,0.7,8.21,0.43,0.26,0.07,1
VNM,0.04,1.02,0.26,0.6,1.83,3.45,0.68,0.85,0.6,0.09,0.51,0.01,0.03,0.07,0.84,1.09,0.37,0.39,1.28,0.26,8.5,0.76,0.45,0.03,5
VUT,0.05,1.14,0.26,0.61,1.83,3.45,0.68,0.97,0.66,0.05,0.6,0.0,0.02,0.07,1.18,1.14,0.41,0.4,1.25,0.27,8.5,0.13,0.32,0.02,5
WSM,0.05,1.02,0.26,0.59,1.83,3.45,0.68,0.85,0.59,0.1,0.55,0.01,0.02,0.07,1.08,1.1,0.39,0.39,1.27,0.26,8.5,0.49,0.4,0.03,5
YEM,0.47,0.92,0.49,0.89,1.79,3.08,1.09,0.44,0.85,0.01,0.81,0.0,0.03,0.09,0.93,0.82,0.21,0.1,0.84,0.25,9.45,0.23,0.18,0.04,3
ZAF,0.28,1.07,0.36,0.88,1.29,3.03,1.24,0.23,0.86,0.01,0.92,0.01,0.12,0.08,0.85,1.06,0.13,0.1,1.11,0.21,9.73,0.27,0.15,0.04,3
ZMB,0.15,1.09,0.39,1.1,1.88,2.25,0.93,1.11,0.73,0.13,0.88,0.01,0.01,0.1,0.92,0.98,0.3,0.37,1.09,0.29,8.93,0.17,0.15,0.02,6
ZWE,0.15,1.13,0.39,1.1,1.88,2.25,0.93,1.24,0.73,0.12,0.89,0.01,0.02,0.17,0.75,0.98,0.27,0.36,1.07,0.3,8.93,0.18,0.13,0.02,6
